"gene_compare","fc_mean","p_mean","support_n","final","Confidence(%)"
"ENSG00000023171 HCC1395/HCC1395BL",0.289086941696439,0,8,"down-regulate",100
"ENSG00000023191 HCC1395/HCC1395BL",1.06300850051323,9.93004254798463e-05,8,"non-DEG",100
"ENSG00000023228 HCC1395/HCC1395BL",0.70100319050938,0,8,"non-DEG",100
"ENSG00000023287 HCC1395/HCC1395BL",1.4712153113044,0,8,"non-DEG",100
"ENSG00000023318 HCC1395/HCC1395BL",0.781764887725372,1.10162961187605e-244,8,"non-DEG",100
"ENSG00000023330 HCC1395/HCC1395BL",1.24652730484275,0,8,"non-DEG",100
"ENSG00000023445 HCC1395/HCC1395BL",0.0247422459997155,0,8,"down-regulate",100
"ENSG00000023516 HCC1395/HCC1395BL",1.1879206611712,7.30062213616102e-287,8,"non-DEG",100
"ENSG00000023608 HCC1395/HCC1395BL",0.960581119650461,4.29699724644443e-14,8,"non-DEG",100
"ENSG00000023697 HCC1395/HCC1395BL",0.890403816117981,1.37211629967016e-134,8,"non-DEG",100
"ENSG00000023734 HCC1395/HCC1395BL",1.39438403833318,0,8,"non-DEG",100
"ENSG00000023839 HCC1395/HCC1395BL",9.50955793878862,0,8,"up-regulate",100
"ENSG00000023892 HCC1395/HCC1395BL",0.464037804682837,0,7.33333333333333,"down-regulate",91.6666666666667
"ENSG00000023902 HCC1395/HCC1395BL",0.142358956311626,0,8,"down-regulate",100
"ENSG00000023909 HCC1395/HCC1395BL",20.3461853440674,0,8,"up-regulate",100
"ENSG00000024048 HCC1395/HCC1395BL",1.64730310224708,0,8,"non-DEG",100
"ENSG00000024526 HCC1395/HCC1395BL",0.603835912105008,0,8,"non-DEG",100
"ENSG00000024862 HCC1395/HCC1395BL",0.722474886730545,1.77001769343051e-241,8,"non-DEG",100
"ENSG00000025039 HCC1395/HCC1395BL",0.0100201624768583,0,8,"down-regulate",100
"ENSG00000025156 HCC1395/HCC1395BL",1.26318931259075,4.31809431711993e-216,8,"non-DEG",100
"ENSG00000025423 HCC1395/HCC1395BL",1.65994872585949,2.09210095400574e-200,7.25,"non-DEG",90.625
"ENSG00000025434 HCC1395/HCC1395BL",4.42351724247331,0,8,"up-regulate",100
"ENSG00000025708 HCC1395/HCC1395BL",1.12786099756593,3.12083530132174e-89,8,"non-DEG",100
"ENSG00000025770 HCC1395/HCC1395BL",1.76366387571884,0,7.66666666666667,"non-DEG",95.8333333333333
"ENSG00000025772 HCC1395/HCC1395BL",1.55162463486392,0,8,"non-DEG",100
"ENSG00000025800 HCC1395/HCC1395BL",1.39191407433235,0,8,"non-DEG",100
"ENSG00000026025 HCC1395/HCC1395BL",5.72815729575971,0,8,"up-regulate",100
"ENSG00000026103 HCC1395/HCC1395BL",0.189669525469104,0,8,"down-regulate",100
"ENSG00000026297 HCC1395/HCC1395BL",0.123414938291652,0,8,"down-regulate",100
"ENSG00000026508 HCC1395/HCC1395BL",0.311041969540638,0,8,"down-regulate",100
"ENSG00000026950 HCC1395/HCC1395BL",0.948614554000541,1.50195464065945e-43,8,"non-DEG",100
"ENSG00000027001 HCC1395/HCC1395BL",0.254654340297518,0,8,"down-regulate",100
"ENSG00000027075 HCC1395/HCC1395BL",0.0207630800332205,0,8,"down-regulate",100
