Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-avg_gc
SEQ_PolyA_HCC1395_5	55.2244	0.02	101350110.0								101854792.0	
SEQ_PolyA_HCC1395_5_bamqc				4.467901183013775	1.455024487553002	10.926893218643654	0	1.084326646166132	217	2.8543792727012445		47.831740542009236
SEQ_PolyA_HCC1395_6	54.8769	0.02	100464362.0								101025932.0	
SEQ_PolyA_HCC1395_6_bamqc				4.410500373662628	1.4485828727857077	10.877570478233533	0	1.0814066694249573	223	2.8237834575444722		47.8598530079446
SEQ_RiboZero_HCC1395BL_1	44.5074	0.03	123930498.0								125130786.0	
SEQ_RiboZero_HCC1395BL_1_bamqc				16.740412059160946	3.2605489987662937	28.787339085632887	0	1.6571784531481153	173	10.679665725300431		44.75211262428681
SEQ_RiboZero_HCC1395BL_2	52.2398	0.03	140827114.0								142797270.0	
SEQ_RiboZero_HCC1395BL_2_bamqc				17.47459225848625	3.684637972233224	29.245143608996496	0	1.8928068524767094	165	11.45506136793804		45.19055440743016
SEQ_RiboZero_HCC1395BL_3	44.3744	0.03	129480240.0								130858798.0	
SEQ_RiboZero_HCC1395BL_3_bamqc				17.035056010591106	3.435775089318005	29.02061013410821	0	1.7455800457048236	169	11.00290039516655		44.10420292321284
SEQ_RiboZero_HCC1395BL_4	47.385	0.03	137052576.0								138879154.0	
SEQ_RiboZero_HCC1395BL_4_bamqc				17.548744318090677	3.7086336114851415	29.51179188984061	0	1.8926698091985086	175	11.52556513417025		44.213749463553505
